"LOCATION","Country","SEX","Sex","AGE","Age","TIME","Time","Value","Flag Codes","Flags"
"AUS","Australia","T","Total","TOTAL","Total","1995","1995",18004882,,
"AUS","Australia","T","Total","TOTAL","Total","1996","1996",18224767,,
"AUS","Australia","T","Total","TOTAL","Total","1997","1997",18423037,,
"AUS","Australia","T","Total","TOTAL","Total","1998","1998",18607584,,
"AUS","Australia","T","Total","TOTAL","Total","1999","1999",18812264,,
"AUS","Australia","T","Total","TOTAL","Total","2000","2000",19028802,,
"AUS","Australia","T","Total","TOTAL","Total","2001","2001",19274701,,
"AUS","Australia","T","Total","TOTAL","Total","2002","2002",19495210,,
"AUS","Australia","T","Total","TOTAL","Total","2003","2003",19720737,,
"AUS","Australia","T","Total","TOTAL","Total","2004","2004",19932722,,
"AUS","Australia","T","Total","TOTAL","Total","2005","2005",20176844,,
"AUS","Australia","T","Total","TOTAL","Total","2006","2006",20450966,,
"AUS","Australia","T","Total","TOTAL","Total","2007","2007",20827622,,
"AUS","Australia","T","Total","TOTAL","Total","2008","2008",21249199,,
"AUS","Australia","T","Total","TOTAL","Total","2009","2009",21691653,,
"AUS","Australia","T","Total","TOTAL","Total","2010","2010",22031750,,
"AUS","Australia","T","Total","TOTAL","Total","2011","2011",22340024,,
"AUS","Australia","T","Total","TOTAL","Total","2012","2012",22733465,,
"AUS","Australia","T","Total","TOTAL","Total","2013","2013",23128129,,
"AUS","Australia","T","Total","TOTAL","Total","2014","2014",23475686,,
"AUS","Australia","T","Total","TOTAL","Total","2015","2015",23815995,,
"AUS","Australia","T","Total","TOTAL","Total","2016","2016",24190907,,
"AUS","Australia","T","Total","TOTAL","Total","2017","2017",24594202,,
"AUS","Australia","T","Total","TOTAL","Total","2018","2018",24966643,,
"AUS","Australia","T","Total","TOTAL","Total","2019","2019",25340217,,
"AUS","Australia","T","Total","TOTAL","Total","2020","2020",25655289,,
"AUS","Australia","T","Total","TOTAL","Total","2021","2021",25688079,,
"AUT","Austria","T","Total","TOTAL","Total","1995","1995",7948278,,
